"","X","X1","Agent_Bias_Rate","Agent_Count","Annealing_Rate_Group","Annealing_Rate_Individual","Distance_Matrix_Scaling_Homophily","Facts_per_Interaction","Generation_Mechanism_Group","Generation_Mechanism_Knowledge","Group_Count","Group_File_Name","Group_Flip_To_Negative_Rate","Group_Flip_To_Positive_Rate","Groups_Per_Agent","Homophily","Homophily_Clusters","Homophily_File_Name","Homophily_Generation_Mechanism","Interactions_per_Turn","Knowledge_Count","Knowledge_File_Name","Mean_Knowledge","Memory_Rate_Group","Memory_Rate_Individual","Number_Turns","Repetition","agent_core_mean","KB_mean","GO_mean","group_mean","max_SCC","n_edges_max_SCC","avg_pl_SCC","unweighted_CC_SCC","n_edges_total","unweighted_CC_Total","reciprocity_SCC","reciprocity_Total","max_WCC","mean_edge_weight","sd_edge_weight","mean_weighted_CC_SCC","mean_weighted_CC_Total","ingroup_Total","outgroup_Total","prop_mean","count_mean"
"11",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,1,20.2233306451613,235,1,2,1000,20620,3.60378578578579,0.155468495870425,20620,0.155468495870425,0.0836081474296799,0.0836081474296799,1000,2.17036857419981,0.426036518083348,0.15538616228639,0.15538616228639,20600,20,0.966837186273749,0.966837186273749
"12",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,10,20.199814516129,235,1,2,1000,20845,3.6134034034034,0.158319122187997,20845,0.158319122187997,0.0834732549772128,0.0834732549772128,1000,2.17155193091869,0.431251937162277,0.157754913384826,0.157754913384826,20824,21,0.967545660357452,0.967545660357452
"13",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,2,20.2473790322581,234,1,2,1000,20741,3.77807407407407,0.158385403201241,20741,0.158385403201241,0.0830239622004725,0.0830239622004725,1000,2.17043536955788,0.42998233736307,0.157384336527143,0.157384336527143,20719,22,0.9660889519715,0.9660889519715
"14",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,3,20.2588225806452,234,1,2,1000,20589,3.49327127127127,0.15736574201132,20589,0.15736574201132,0.0814998300063141,0.0814998300063141,1000,2.17018796444703,0.424940216402157,0.156060707271791,0.156060707271791,20558,31,0.964967475291686,0.964967475291686
"15",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,4,20.2131290322581,235,1,2,1000,20768,3.47365765765766,0.15704401023464,20768,0.15704401023464,0.087442218798151,0.087442218798151,1000,2.17387326656394,0.434751306091089,0.156586627655638,0.156586627655638,20736,32,0.965871447516275,0.965871447516275
"16",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,5,20.207314516129,234,1,2,1000,20740,3.51529129129129,0.156398704610507,20740,0.156398704610507,0.0834136933461909,0.0834136933461909,1000,2.16783992285439,0.425610366220689,0.155906550052743,0.155906550052743,20712,28,0.966612996008117,0.966612996008117
"17",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,6,20.1541774193548,234,1,2,1000,20558,3.49128528528529,0.156744801114089,20558,0.156744801114089,0.0826928689561241,0.0826928689561241,1000,2.16402373771768,0.421886969336513,0.154918975470587,0.154918975470587,20524,34,0.96471058780386,0.96471058780386
"18",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,7,20.1619032258065,235,1,2,1000,20781,3.60875675675676,0.158818113163334,20781,0.158818113163334,0.0839228141090419,0.0839228141090419,1000,2.1731870458592,0.427613957814571,0.157116941751312,0.157116941751312,20760,21,0.966472173561971,0.966472173561971
"19",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,8,20.2148790322581,234,1,2,1000,20514,3.55240640640641,0.154462346066662,20514,0.154462346066662,0.0843326508725748,0.0843326508725748,1000,2.16622794189334,0.42350633186576,0.153825740840017,0.153825740840017,20487,27,0.963955189108209,0.963955189108209
"20",1,1,0,1000,25,6,"exp",1,"uniform","group_based",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,9,20.2091129032258,235,1,2,1000,20657,3.58480880880881,0.156480889090684,20657,0.156480889090684,0.0837488502686741,0.0837488502686741,1000,2.16318923367381,0.417292338398136,0.155296297681031,0.155296297681031,20634,23,0.964057748669283,0.964057748669283
"21",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,1,12.9462258064516,226,0,3,841,11777,2.6265047279316,0.109311392246508,12203,0.106051459760912,0.0820242846225694,0.0791608620830943,991,2.16668032451037,0.442476326063731,0.0872429996041309,NA,9624,2579,0.746572596366095,0.746572596366095
"22",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,10,8.03593548387097,214,0,3,663,6747,2.67883783771468,0.107928579020087,7451,0.0986683232422217,0.101378390395731,0.0917997584216884,955,2.19567843242518,0.474688289884603,0.0895643758140701,NA,4846,2605,0.641066711741378,0.641066711741378
"23",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,2,16.5180564516129,234,0,4,956,15149,2.71207255361563,0.118081262696666,15281,0.117273901420719,0.0706317248663278,0.0700215954453243,999,2.15463647667038,0.405265894684584,0.10191359527079,NA,13647,1634,0.821231755515365,0.821231755515365
"24",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,3,9.75367741935484,218,0,3,735,8564,2.59645220486015,0.0981217319511971,9281,0.091670093093378,0.08640822045773,0.0797327874151492,979,2.18866501454585,0.472138335350984,0.0882560552509843,NA,6530,2751,0.69335942788313,0.69335942788313
"25",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,4,0,200,0,5,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,NA
"26",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,5,16.147,233,0,4,952,15114,2.69464694395108,0.120446913585162,15220,0.119689340511121,0.074632790789996,0.0741130091984231,993,2.15788436268068,0.417408476384134,0.103648766312445,NA,13384,1836,0.808861175850295,0.808861175850295
"27",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,6,8.93109677419355,216,0,3,695,7630,2.61948458524247,0.0981550005801885,8389,0.0902182135583358,0.0927916120576671,0.0843962331624747,984,2.18965311717726,0.481570448257153,0.0926706756047389,NA,5847,2542,0.683929913124346,0.683929913124346
"28",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,7,12.6395564516129,225,0,4,854,11462,2.66018543177269,0.116191023889967,11807,0.1131864491013,0.0813121619263654,0.0789362242737359,986,2.17650546286101,0.449382905076543,0.0871765581910108,NA,9064,2743,0.721190604697143,0.721190604697143
"29",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,8,16.2912822580645,233,0,4,962,15041,2.71625191188146,0.121512555104813,15145,0.120862806390891,0.0751279835117346,0.0746120831957742,997,2.16553317926708,0.426444309432823,0.104090838110551,NA,13428,1717,0.813771584543757,0.813771584543757
"30",1,1,0,1000,25,6,"exp",1,"uniform","uniform",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,9,8.20145161290323,215,0,3,664,7025,2.66528557669592,0.112697209908025,7722,0.103760238272524,0.100498220640569,0.0914270914270914,963,2.20953120953121,0.51740569393351,0.0980882049472511,NA,5257,2465,0.67023064387703,0.67023064387703
"31",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,1,18.3909516129032,190,190,5,996,6636,2.92885310084559,0.0131042113270175,6666,0.0130959337297632,0.00874020494273659,0.0087008700870087,1000,2.04440444044404,0.213868833198617,0.0136235512716058,0.0136334663723245,1793,4873,0.253102069155869,0.253102069155869
"32",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,10,18.4043629032258,203,203,5,998,6764,2.91234424717037,0.013693444959031,6775,0.0136683372412184,0.00680070963926671,0.00678966789667897,1000,2.03675276752768,0.189730653368185,0.0137545534422697,0.0137017201270015,1782,4993,0.250448914165756,0.250448914165756
"33",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,2,18.3608467741935,191,191,5,1000,6706,2.92321321321321,0.0132588816421571,6706,0.0132588816421571,0.0053683268714584,0.0053683268714584,1000,2.04145541306293,0.204525749667816,0.0129807244136193,0.0129807244136193,1838,4868,0.251434389529987,0.251434389529987
"34",1,1,0.1,1000,25,6,"exp",1,"uniform","all_same",4,"groups.csv",0,0,1,"off",1,"homophily.csv","normal",2,500,"knowledge.csv",0.4,-1,-1,150,3,18.4094112903226,220,220,5,1000,6721,2.92268868868869,0.013221668657995,6721,0.013221668657995,0.00416604671923821,0.00416604671923821,1000,2.04002380598125,0.205661532863726,0.0133132702298851,0.0133132702298851,1751,4970,0.253542954085277,0.253542954085277
